kk time, kk res, rr std time, rr std res, rr pp time, rr pp res, hc std time, hc std res, hc pp time, hc pp res, anneal std time, anneal std res, anneal pp time, anneal pp res
0.033,256109,73.263,255679989,174.854,508792303,187.275,6.00651E+12,1451.75,49,1338.7,517,969.657,75
0.012,36897,104.313,317825095,366.582,638718951,215.046,6.32863E+12,1434.78,133,2555.87,605,1063.65,125
0.011,175526,70.316,795588348,179.045,103877128,171.038,3.03439E+12,1870.87,86,1076.58,2462,737.018,588
0.011,68522,60.2,368879826,163.455,42953094,164.334,6.07094E+12,1308.98,238,1116.5,466,758.34,88
0.021,267146,68.376,578740142,190.574,142034984,173.694,5.35797E+12,1428.45,76,1509.68,232,831.997,52
0.01,2626,68.52,273495464,189.406,12179216,179.113,83752091094,1448.43,426,1269,4,730.623,372
0.01,101170,64.671,206006770,173.768,1117930702,185.75,5.99148E+11,1355.56,202,1299.41,802,872.936,112
0.014,175131,62.544,831392145,192.507,73696973,197.896,7.44103E+12,1522.11,83,1154.21,909,797.315,123
0.013,2730399,65.987,156504527,185.304,30873061,168.293,4.10814E+12,1400.77,127,1188.58,307,1028.8,1
0.015,683723,77.855,376314049,281.079,202818857,177.193,3.07305E+12,1530.06,35,1110.84,749,757.826,527
0.01,251861,67.727,503387661,207.809,41945157,184.435,1.10875E+13,1443.52,275,1238.24,383,783.774,423
0.011,18818,69.887,167443058,181.461,54383560,199.172,1.51827E+12,1380.36,146,1136.92,262,810.546,16
0.011,111560,63.209,254234888,272.744,436583614,191.928,2.63067E+12,1825.22,742,1218.76,3238,893.196,508
0.011,224661,85.768,1215548673,187.562,75022209,209.836,2.6865E+12,1553.9,371,1435.83,879,890.903,57
0.01,43804,66.602,139916796,207.899,198018400,196.185,3.73877E+12,1537.62,78,1222.3,338,836.843,30
0.011,39508,66.684,491621168,205.923,669300758,273.097,2.81106E+12,1415.43,4,1260.77,800,1338.02,420
0.014,125694,118.37,388390792,527.819,386306858,372.247,9.25566E+11,2842.58,72,1256.68,1588,843.672,22
0.01,6505,71.046,38680455,183.783,148626865,169.902,6.1053E+12,1351.44,187,1165.4,5141,830.058,457
0.011,97358,69.412,813002752,178.144,265240400,178.969,4.77815E+12,1516.66,108,1167.24,264,755.951,88
0.011,29258,62.662,320924928,170.708,261109242,186.861,5.504E+12,1399.32,4,1141.46,522,763.99,560
0.01,187056,65.407,22217912,201.544,670581834,182.924,5.83471E+12,1583.36,736,1304.06,52,818.167,170
0.017,208358,60.553,104175586,168.983,184622642,171.77,7.63001E+12,1423.87,18,1166.03,196,897.561,276
0.01,15374,66.684,19648248,193.836,27133052,199.945,4.88553E+12,1406.79,58,1177.68,62,901.903,146
0.011,1629665,66.183,428606967,206.26,83152685,218.54,9.14184E+12,1801.09,585,1445.59,333,968.972,121
